3.9s  What's 17.5% of 2,340?                             {'intent': 'question', 'tool': 'calculator', 'ask_first': False}
2.0s  hey what is 48 times 365                           {'intent': 'question', 'tool': 'calculator', 'ask_first': False}
2.1s  If rent is $1,850 and we're 3 roommates, how much  {'intent': 'question', 'tool': 'calculator', 'ask_first': False}
2.1s  tip for a $64 dinner at 18 percent?                {'intent': 'question', 'tool': 'calculator', 'ask_first': False}
2.0s  how many ounces in 2.5 liters                      {'intent': 'question', 'tool': 'calculator', 'ask_first': False}
2.0s  Can you add up 129, 88 and 406 for me              {'intent': 'task', 'tool': 'calculator', 'ask_first': False}
1.9s  we need to split the check                         {'intent': 'task', 'tool': 'none', 'ask_first': True}
1.9s  What's the weather in Chicago today?               {'intent': 'question', 'tool': 'web_search', 'ask_first': False}
2.1s  Will I need an umbrella in Seattle this weekend?   {'intent': 'question', 'tool': 'web_search', 'ask_first': False}
2.0s  any news on the Artemis mission                    {'intent': 'question', 'tool': 'web_search', 'ask_first': False}
1.9s  how did the Warriors do last night?                {'intent': 'question', 'tool': 'web_search', 'ask_first': False}
2.0s  what's bitcoin at right now                        {'intent': 'question', 'tool': 'web_search', 'ask_first': False}
2.0s  Is Costco open on Labor Day?                       {'intent': 'question', 'tool': 'web_search', 'ask_first': False}
2.1s  find a sushi place near downtown Minneapolis that' {'intent': 'task', 'tool': 'web_search', 'ask_first': False}
2.1s  how much is a Steam Deck these days                {'intent': 'question', 'tool': 'web_search', 'ask_first': False}
1.9s  is it hot out today?                               {'intent': 'question', 'tool': 'web_search', 'ask_first': False}
2.0s  when do they close tonight?                        {'intent': 'question', 'tool': 'web_search', 'ask_first': False}
2.2s  Summarize https://www.theatlantic.com/technology/a {'intent': 'task', 'tool': 'web_browser', 'ask_first': False}
2.1s  what's this link about https://arxiv.org/abs/2604. {'intent': 'question', 'tool': 'web_browser', 'ask_first': False}
2.1s  can you check https://shop.example.org/deals and s {'intent': 'task', 'tool': 'web_browser', 'ask_first': False}
